f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.1,0.6,0.05,0.05,0.05,153,2
0.1,0.6,0.05,0.05,0.1,63,2
0.1,0.6,0.05,0.05,0.15,150,2
0.1,0.6,0.05,0.05,0.2,133,2
0.1,0.6,0.05,0.05,0.25,152,2
0.1,0.6,0.05,0.05,0.3,150,2
0.1,0.6,0.05,0.1,0.05,104,2
0.1,0.6,0.05,0.1,0.1,145,2
0.1,0.6,0.05,0.1,0.15,147,2
0.1,0.6,0.05,0.1,0.2,116,2
0.1,0.6,0.05,0.1,0.25,104,2
0.1,0.6,0.05,0.1,0.3,76,2
0.1,0.6,0.05,0.15,0.05,77,2
0.1,0.6,0.05,0.15,0.1,82,2
0.1,0.6,0.05,0.15,0.15,141,2
0.1,0.6,0.05,0.15,0.2,142,2
0.1,0.6,0.05,0.15,0.25,144,2
0.1,0.6,0.05,0.15,0.3,152,2
0.1,0.6,0.05,0.2,0.05,110,2
0.1,0.6,0.05,0.2,0.1,0,2
0.1,0.6,0.05,0.2,0.15,79,2
0.1,0.6,0.05,0.2,0.2,2,2
0.1,0.6,0.05,0.2,0.25,71,2
0.1,0.6,0.05,0.2,0.3,119,2
0.1,0.6,0.05,0.25,0.05,138,2
0.1,0.6,0.05,0.25,0.1,143,2
0.1,0.6,0.05,0.25,0.15,155,2
0.1,0.6,0.05,0.25,0.2,0,2
0.1,0.6,0.05,0.25,0.25,35,2
0.1,0.6,0.05,0.25,0.3,116,2
0.1,0.6,0.05,0.3,0.05,148,2
0.1,0.6,0.05,0.3,0.1,126,2
0.1,0.6,0.05,0.3,0.15,132,2
0.1,0.6,0.05,0.3,0.2,144,2
0.1,0.6,0.05,0.3,0.25,147,2
0.1,0.6,0.05,0.3,0.3,151,2
0.1,0.6,0.1,0.05,0.05,121,2
0.1,0.6,0.1,0.05,0.1,140,2
0.1,0.6,0.1,0.05,0.15,111,2
0.1,0.6,0.1,0.05,0.2,127,2
0.1,0.6,0.1,0.05,0.25,136,2
0.1,0.6,0.1,0.05,0.3,152,2
0.1,0.6,0.1,0.1,0.05,67,2
0.1,0.6,0.1,0.1,0.1,143,2
0.1,0.6,0.1,0.1,0.15,148,2
0.1,0.6,0.1,0.1,0.2,135,2
0.1,0.6,0.1,0.1,0.25,133,2
0.1,0.6,0.1,0.1,0.3,143,2
0.1,0.6,0.1,0.15,0.05,126,2
0.1,0.6,0.1,0.15,0.1,44,2
0.1,0.6,0.1,0.15,0.15,136,2
0.1,0.6,0.1,0.15,0.2,140,2
0.1,0.6,0.1,0.15,0.25,140,2
0.1,0.6,0.1,0.15,0.3,93,2
0.1,0.6,0.1,0.2,0.05,0,2
0.1,0.6,0.1,0.2,0.1,138,2
0.1,0.6,0.1,0.2,0.15,142,2
0.1,0.6,0.1,0.2,0.2,64,2
0.1,0.6,0.1,0.2,0.25,112,2
0.1,0.6,0.1,0.2,0.3,0,2
0.1,0.6,0.1,0.25,0.05,150,2
0.1,0.6,0.1,0.25,0.1,21,2
0.1,0.6,0.1,0.25,0.15,157,2
0.1,0.6,0.1,0.25,0.2,151,2
0.1,0.6,0.1,0.25,0.25,143,2
0.1,0.6,0.1,0.25,0.3,5,2
0.1,0.6,0.1,0.3,0.05,151,2
0.1,0.6,0.1,0.3,0.1,144,2
0.1,0.6,0.1,0.3,0.15,83,2
0.1,0.6,0.1,0.3,0.2,96,2
0.1,0.6,0.1,0.3,0.25,139,2
0.1,0.6,0.1,0.3,0.3,153,2
0.1,0.6,0.15,0.05,0.05,73,2
0.1,0.6,0.15,0.05,0.1,121,2
0.1,0.6,0.15,0.05,0.15,149,2
