f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.1,0.6,0.05,0.05,0.05,125,1
0.1,0.6,0.05,0.05,0.1,108,1
0.1,0.6,0.05,0.05,0.15,153,1
0.1,0.6,0.05,0.05,0.2,143,1
0.1,0.6,0.05,0.05,0.25,131,1
0.1,0.6,0.05,0.05,0.3,139,1
0.1,0.6,0.05,0.1,0.05,98,1
0.1,0.6,0.05,0.1,0.1,106,1
0.1,0.6,0.05,0.1,0.15,59,1
0.1,0.6,0.05,0.1,0.2,63,1
0.1,0.6,0.05,0.1,0.25,115,1
0.1,0.6,0.05,0.1,0.3,117,1
0.1,0.6,0.05,0.15,0.05,63,1
0.1,0.6,0.05,0.15,0.1,97,1
0.1,0.6,0.05,0.15,0.15,106,1
0.1,0.6,0.05,0.15,0.2,109,1
0.1,0.6,0.05,0.15,0.25,117,1
0.1,0.6,0.05,0.15,0.3,119,1
0.1,0.6,0.05,0.2,0.05,49,1
0.1,0.6,0.05,0.2,0.1,64,1
0.1,0.6,0.05,0.2,0.15,87,1
0.1,0.6,0.05,0.2,0.2,84,1
0.1,0.6,0.05,0.2,0.25,91,1
0.1,0.6,0.05,0.2,0.3,92,1
0.1,0.6,0.05,0.25,0.05,35,1
0.1,0.6,0.05,0.25,0.1,58,1
0.1,0.6,0.05,0.25,0.15,63,1
0.1,0.6,0.05,0.25,0.2,75,1
0.1,0.6,0.05,0.25,0.25,81,1
0.1,0.6,0.05,0.25,0.3,73,1
0.1,0.6,0.05,0.3,0.05,28,1
0.1,0.6,0.05,0.3,0.1,43,1
0.1,0.6,0.05,0.3,0.15,51,1
0.1,0.6,0.05,0.3,0.2,60,1
0.1,0.6,0.05,0.3,0.25,61,1
0.1,0.6,0.05,0.3,0.3,67,1
0.1,0.6,0.1,0.05,0.05,85,1
0.1,0.6,0.1,0.05,0.1,114,1
0.1,0.6,0.1,0.05,0.15,118,1
0.1,0.6,0.1,0.05,0.2,128,1
0.1,0.6,0.1,0.05,0.25,100,1
0.1,0.6,0.1,0.05,0.3,59,1
0.1,0.6,0.1,0.1,0.05,36,1
0.1,0.6,0.1,0.1,0.1,72,1
0.1,0.6,0.1,0.1,0.15,104,1
0.1,0.6,0.1,0.1,0.2,106,1
0.1,0.6,0.1,0.1,0.25,97,1
0.1,0.6,0.1,0.1,0.3,103,1
0.1,0.6,0.1,0.15,0.05,23,1
0.1,0.6,0.1,0.15,0.1,36,1
0.1,0.6,0.1,0.15,0.15,52,1
0.1,0.6,0.1,0.15,0.2,56,1
0.1,0.6,0.1,0.15,0.25,57,1
0.1,0.6,0.1,0.15,0.3,80,1
0.1,0.6,0.1,0.2,0.05,19,1
0.1,0.6,0.1,0.2,0.1,31,1
0.1,0.6,0.1,0.2,0.15,38,1
0.1,0.6,0.1,0.2,0.2,39,1
0.1,0.6,0.1,0.2,0.25,46,1
0.1,0.6,0.1,0.2,0.3,54,1
0.1,0.6,0.1,0.25,0.05,17,1
